component_name,price,currency,store,url,category,scraped_at
1stPlayer AU7 ARGB (белый),143.71,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/au7bk2fa7142fa7w,case,2026-08-16 04:26:21
1stPlayer AU7 ARGB (черный),153.34,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/au7bk2fa7142fa7r,case,2026-08-16 04:26:21
1stPlayer BV5 BV5-BK-2FH7R-1FH7 (черный),127.78,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv5bk2fh7r1fh7,case,2026-08-16 04:26:21
1stPlayer D3-A-WH-1F7-14-W-1F7-W без БЖ White,1799.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-d3-a-wh-1f7-14-w-1f7-w-bez-bp-white/,case,2026-08-16 04:26:21
1stPlayer MV5-TRANSPARENT ARGB (черный),248.37,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/mv5tpbk2fc7r1fc7,case,2026-08-16 04:26:21
1stPlayer RT7 RT7-WH (белый),171.80,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/rt7wh,case,2026-08-16 04:26:21
1stPlayer T5-4F1-W-WH без БЖ White,1849.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-t5-4f1-bez-bp-white/,case,2026-08-16 04:26:21
1STPLAYER TRILOBITE T7-P White,5010.00,RUB,regard.ru,https://www.regard.ru/product/664355,case,2026-08-16 04:26:21
1stPlayer VT6-WH без БЖ White,2199.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-vt6-wh-bez-bp-white/,case,2026-08-16 04:26:21
A4Tech Bloody BD-CC101 (черный),54.72,BYN,onliner.by,https://catalog.onliner.by/chassis/a4tech/bloodybdcc101bk,case,2026-08-16 04:26:21
ACCORD ACC-1603 Black,1520.00,RUB,regard.ru,https://www.regard.ru/product/778955,case,2026-08-16 04:26:21
ACCORD ACC-U02B Black,2700.00,RUB,regard.ru,https://www.regard.ru/product/768788,case,2026-08-16 04:26:21
ACD Citadel 108B AH-SI2G0-000,85.64,BYN,onliner.by,https://catalog.onliner.by/chassis/acd/ahsi2g0000,case,2026-08-16 04:26:21
