component_name,price,currency,store,url,category,scraped_at
1stPlayer AU7 ARGB (черный),133.21,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/au7bk2fa7142fa7r,case,2026-08-09 04:55:32
1stPlayer BV5 BV5-BK-2FH7R-1FH7 (черный),109.44,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv5bk2fh7r1fh7,case,2026-08-09 04:55:32
1stPlayer D3-A-WH-1F7-14-W-1F7-W без БЖ White,1799.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-d3-a-wh-1f7-14-w-1f7-w-bez-bp-white/,case,2026-08-09 04:55:32
1STPLAYER MEGAVIEW MV8-TP Black,7140.00,RUB,regard.ru,https://www.regard.ru/product/654490,case,2026-08-09 04:55:32
1stPlayer MV5-TRANSPARENT ARGB (черный),177.24,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/mv5tpbk2fc7r1fc7,case,2026-08-09 04:55:32
1stPlayer RT7 RT7-WH (белый),170.39,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/rt7wh,case,2026-08-09 04:55:32
1stPlayer T5-4F1-W-WH без БЖ White,1849.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-t5-4f1-bez-bp-white/,case,2026-08-09 04:55:32
1STPLAYER TRILOBITE T7-P White,5010.00,RUB,regard.ru,https://www.regard.ru/product/664355,case,2026-08-09 04:55:32
1stPlayer VT6-WH без БЖ White,2199.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-vt6-wh-bez-bp-white/,case,2026-08-09 04:55:32
A4Tech Bloody BD-CC101 (черный),55.81,BYN,onliner.by,https://catalog.onliner.by/chassis/a4tech/bloodybdcc101bk,case,2026-08-09 04:55:32
ACCORD ACC-1603 Black,1540.00,RUB,regard.ru,https://www.regard.ru/product/778955,case,2026-08-09 04:55:32
ACCORD ACC-U02B Black,2570.00,RUB,regard.ru,https://www.regard.ru/product/768788,case,2026-08-09 04:55:32
Accord Entry ACC-2054B,39.48,BYN,onliner.by,https://catalog.onliner.by/chassis/accord/acc2054b,case,2026-08-09 04:55:32
Aerocool B508A Flow ARGB,54.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00696696.html,case,2026-08-09 04:55:32
Aerocool CS-106 (Noir),39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00428914.html,case,2026-08-09 04:55:32
Aerocool CS-107-A-BK-V2,39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00518625.html,case,2026-08-09 04:55:32
Aerocool CS-109-S (Blanc),39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660882.html,case,2026-08-09 04:55:32
Aerocool CS-109-S (Noir),39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660878.html,case,2026-08-09 04:55:32
Aerocool CS-110 Blanc,34.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659172.html,case,2026-08-09 04:55:32
Aerocool CS-110 Noir,34.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659171.html,case,2026-08-09 04:55:32
Aerocool CS-111 V2 Blanc,44.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660829.html,case,2026-08-09 04:55:32
Aerocool CS-111 V2 Noir,44.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660826.html,case,2026-08-09 04:55:32
