component_name,price,currency,store,url,category,scraped_at
1stPlayer AU7 ARGB (черный),161.45,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/au7bk2fa7142fa7r,case,2026-09-13 08:38:49
1stPlayer F3-A-4F1-WH без БЖ White,1599.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-f3-a-4f1-bez-bp-white/,case,2026-09-13 08:38:49
1STPLAYER FD3 Black,3680.00,RUB,regard.ru,https://www.regard.ru/product/482625,case,2026-09-13 08:38:49
1stPlayer GM7 ARGB GM7-BK-3FN7R-1FN7 (черный),195.00,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/gm7bk3fn7r1fn7,case,2026-09-13 08:38:49
1stPlayer GM7 ARGB GM7-WH-3FN7R-W-1FN7-W (белый),266.95,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/gm7wh3fn7rw1fn7w,case,2026-09-13 08:38:49
1stPlayer GO2-BK без БЖ Black,1399.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-go2-bk-bez-bp-black/,case,2026-09-13 08:38:49
1stPlayer MV5-TP MV5-TP-WH-2FB7R-W-1FB7-W (белый),140.00,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/mv5tpwh2fb7rw1fb,case,2026-09-13 08:38:49
1stPlayer MV5-TRANSPARENT ARGB (черный),191.46,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/mv5tpbk2fc7r1fc7,case,2026-09-13 08:38:49
1stPlayer MV8-TP MV8-TP-BK-3F7R-1F7 (черный),205.00,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/mv8tpbk3f7r1f7,case,2026-09-13 08:38:49
1STPLAYER TRILOBITE T7-P White,5140.00,RUB,regard.ru,https://www.regard.ru/product/664355,case,2026-09-13 08:38:49
1stPlayer V3-B-BK-4F1 без БЖ Black,1799.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-v3-b-bk-4f1-bez-bp-black/,case,2026-09-13 08:38:49
1stPlayer VT6-WH без БЖ White,2199.00,UAH,telemart.ua,https://telemart.ua/ua/products/1stplayer-vt6-wh-bez-bp-white/,case,2026-09-13 08:38:49
1STPLAYER WD1 White,3280.00,RUB,regard.ru,https://www.regard.ru/product/753599,case,2026-09-13 08:38:49
A4Tech Bloody BD-CC101 (черный),60.16,BYN,onliner.by,https://catalog.onliner.by/chassis/a4tech/bloodybdcc101bk,case,2026-09-13 08:38:49
ACCORD A-300 Black,2700.00,RUB,regard.ru,https://www.regard.ru/product/464738,case,2026-09-13 08:38:49
ACCORD ACC-1603 Black,1380.00,RUB,regard.ru,https://www.regard.ru/product/778955,case,2026-09-13 08:38:49
ACCORD ACC-2053B Black,1560.00,RUB,regard.ru,https://www.regard.ru/product/695300,case,2026-09-13 08:38:49
ACCORD ACC-M258-02B Black,1600.00,RUB,regard.ru,https://www.regard.ru/product/749719,case,2026-09-13 08:38:49
ACCORD ACC-ZA11B AR Black,3540.00,RUB,regard.ru,https://www.regard.ru/product/785628,case,2026-09-13 08:38:49
ACCORD ACC-ZCU1B Black,2800.00,RUB,regard.ru,https://www.regard.ru/product/724603,case,2026-09-13 08:38:49
Accord ACC-ZMS03B,78.01,BYN,onliner.by,https://catalog.onliner.by/chassis/accord/acczms03b,case,2026-09-13 08:38:49
Accord Entry ACC-2054B,37.99,BYN,onliner.by,https://catalog.onliner.by/chassis/accord/acc2054b,case,2026-09-13 08:38:49
ACD Citadel 107 Black,3440.00,RUB,regard.ru,https://www.regard.ru/product/493241,case,2026-09-13 08:38:49
ACD M2 500W Black,4780.00,RUB,regard.ru,https://www.regard.ru/product/730537,case,2026-09-13 08:38:49
Aerocool B508A Flow ARGB,54.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00696696.html,case,2026-09-13 08:38:49
AeroCool Cs-101 Black,3290.00,RUB,regard.ru,https://www.regard.ru/product/185433,case,2026-09-13 08:38:49
AeroCool CS-105 Black,2200.00,RUB,regard.ru,https://www.regard.ru/product/295477,case,2026-09-13 08:38:49
Aerocool CS-106 (Noir),39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00428914.html,case,2026-09-13 08:38:49
Aerocool CS-107-A-BK-V2,39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00518625.html,case,2026-09-13 08:38:49
Aerocool CS-109-S (Blanc),39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660882.html,case,2026-09-13 08:38:49
Aerocool CS-109-S (Noir),39.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660878.html,case,2026-09-13 08:38:49
Aerocool CS-110 Blanc,34.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659172.html,case,2026-09-13 08:38:49
Aerocool CS-110 Noir,34.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659171.html,case,2026-09-13 08:38:49
AeroCool Cs-1102 Black,2340.00,RUB,regard.ru,https://www.regard.ru/product/212742,case,2026-09-13 08:38:49
Aerocool CS-111 V2 Blanc,33.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660829.html,case,2026-09-13 08:38:49
Aerocool CS-111 V2 Noir,33.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00660826.html,case,2026-09-13 08:38:49
Aerocool Cylon (Blanc),44.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00252131.html,case,2026-09-13 08:38:49
Aerocool Cylon (Noir),44.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00243149.html,case,2026-09-13 08:38:49
Aerocool Cylon Mini (blanc),49.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00277877.html,case,2026-09-13 08:38:49
Aerocool D301A V1 Blanc,56.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659165.html,case,2026-09-13 08:38:49
Aerocool D302A V1 Blanc,56.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659166.html,case,2026-09-13 08:38:49
Aerocool D302A V1 Noir,56.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00659167.html,case,2026-09-13 08:38:49
Aerocool D501A V2 Noir,76.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00677583.html,case,2026-09-13 08:38:49
Aerocool D520A,89.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00717541.html,case,2026-09-13 08:38:49
Aerocool Dryft Mini V2,64.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00577936.html,case,2026-09-13 08:38:49
Aerocool Dryft V2,62.95,EUR,ldlc.com,https://www.ldlc.com/fiche/PB00577940.html,case,2026-09-13 08:38:49
