component_name,price,currency,store,url,category,scraped_at
"1Stplayer AU6-BK, Black",27990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-au6-bk-black/,case,2026-06-13 14:35:19
"1Stplayer AU6-WH, White",30290.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-au6-wh-white/,case,2026-06-13 14:35:19
"1Stplayer AU7-BK, Black",29990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-au7-bk-black/,case,2026-06-13 14:35:19
"1Stplayer AU7-WH, White",31900.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-au7-wh-white/,case,2026-06-13 14:35:19
1stPlayer BV5 (белый),86.55,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv5bk2fh7r1fhw,case,2026-06-13 14:35:19
1stPlayer BV5 (черный),79.26,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv5bk2fh7r1fh7,case,2026-06-13 14:35:19
"1Stplayer BV5-BK, Black",19990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-bv5-bk-black/,case,2026-06-13 14:35:19
"1Stplayer BV5-WH, White",21990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-bv5-wh-white/,case,2026-06-13 14:35:19
1stPlayer BV7 (черный),1441.45,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/bv7bk3fh7r1fh7,case,2026-06-13 14:35:19
1stPlayer DK D7 D7-BK-3F1,102.28,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/d7bk3f1,case,2026-06-13 14:35:19
"1Stplayer FireBase XP-G-WH-4F7-W, White",22400.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-firebase-xp-g-wh-4f7-w-white/,case,2026-06-13 14:35:19
"1Stplayer GM7, White",36990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-gm7-white/,case,2026-06-13 14:35:19
"1Stplayer Infinite IF8, Black",52390.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-infinite-if8-black/,case,2026-06-13 14:35:19
"1Stplayer Infinite IF8, White",54690.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-infinite-if8-white/,case,2026-06-13 14:35:19
"1STPLAYER Mi7-A, Black",809.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/1stplayer-mi7-a-black,case,2026-06-13 14:35:19
1STPLAYER Mi8,1389.00,MDL,enter.online,https://enter.online/calculatoare/carcase/1stplayer-mi8-mid-tower-black,case,2026-06-13 14:35:19
1STPLAYER Mi8 Black micro ATX,1389.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-mi8-mid-tower-black.html,case,2026-06-13 14:35:19
"1Stplayer Mi8-BK, Black",44790.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-mi8-bk-black/,case,2026-06-13 14:35:19
1STPLAYER MV8-TP,1229.00,MDL,enter.online,https://enter.online/calculatoare/carcase/1stplayer-mv8-tp-mid-tower-white,case,2026-06-13 14:35:19
1STPLAYER MV8-TP White micro ATX,1229.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-mv8-tp-mid-tower-white.html,case,2026-06-13 14:35:19
1STPLAYER RB-4,479.00,MDL,enter.online,https://enter.online/calculatoare/carcase/1stplayer-rb-4-mid-tower-black,case,2026-06-13 14:35:19
1STPLAYER RB-4 Black ATX,479.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-rb-4-mid-tower-black.html,case,2026-06-13 14:35:19
"1STPLAYER RB-4, Black",459.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/1stplayer-rb-4-black,case,2026-06-13 14:35:19
1stPlayer RT5 ARGB (черный),86.41,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/rt5bk2fc7r1fc7,case,2026-06-13 14:35:19
1stPlayer RT7 RT7-WH (белый),159.26,BYN,onliner.by,https://catalog.onliner.by/chassis/1stplayer/rt7wh,case,2026-06-13 14:35:19
"1Stplayer RT7, Black",45290.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-rt7-black/,case,2026-06-13 14:35:19
"1Stplayer RT7, White",47700.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-rt7-white/,case,2026-06-13 14:35:19
"1Stplayer T7 P WH, White",26990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-t7-p-wh-white/,case,2026-06-13 14:35:19
"1Stplayer Trilobite T7 P, Black",26990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-trilobite-t7-p-black/,case,2026-06-13 14:35:19
1STPLAYER UV5,999.00,MDL,enter.online,https://enter.online/calculatoare/carcase/1stplayer-uv5-mid-tower-black,case,2026-06-13 14:35:19
1STPLAYER UV5 Black ITX,999.00,MDL,darwin.md,https://darwin.md/carcasa-1stplayer-uv5-mid-tower-black.html,case,2026-06-13 14:35:19
"1Stplayer UVIEW UV5, Black",30990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-uview-uv5-black/,case,2026-06-13 14:35:19
"1Stplayer UVIEW UV5, White",33790.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-uview-uv5-white/,case,2026-06-13 14:35:19
"1Stplayer UVIEW UV6, Black",33990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-uview-uv6-black/,case,2026-06-13 14:35:19
"1Stplayer UVIEW UV6, White",36990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-uview-uv6-white/,case,2026-06-13 14:35:19
"1Stplayer WD7-BK, Black",31690.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-wd7-bk-black/,case,2026-06-13 14:35:19
"1Stplayer WD7-WH, White",31990.00,KZT,shop.kz,https://shop.kz/offer/korpus-1stplayer-wd7-wh-white/,case,2026-06-13 14:35:19
A4Tech Bloody GH-30,1889.00,MDL,enter.online,https://enter.online/calculatoare/carcase/atx-a4tech-bloody-gh-30-black-red#tab-comments,case,2026-06-13 14:35:19
A4Tech Bloody GH-30 Black micro ATX,1889.00,MDL,darwin.md,https://darwin.md/a4tech-bloody-gh-30-atx-black-red.html,case,2026-06-13 14:35:19
ADATA XPG Lander 500 (черный),155.65,BYN,onliner.by,https://catalog.onliner.by/chassis/adata/lander500mtabkcw,case,2026-06-13 14:35:19
"AeroCool APNX V1-W, Black",82990.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-apnx-v1-w-black/,case,2026-06-13 14:35:19
AeroCool CS-109-G-BK-v1,66.26,BYN,onliner.by,https://catalog.onliner.by/chassis/aerocool/cs109gbkv1,case,2026-06-13 14:35:19
AeroCool CS-111-G-BK-v1,69.51,BYN,onliner.by,https://catalog.onliner.by/chassis/aerocool/cs111gbkv1,case,2026-06-13 14:35:19
"AeroCool D520A, Black",42990.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-d520a-black/,case,2026-06-13 14:35:19
"AeroCool P500A, Black",45300.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-p500a-black/,case,2026-06-13 14:35:19
"AeroCool P500B Digi, Black",46400.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-p500b-digi-black/,case,2026-06-13 14:35:19
"AeroCool P500C Evo, White",47700.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-p500c-evo-white/,case,2026-06-13 14:35:19
Antec FLUX M - Gehäuse - Minitower - Schwarz,58.56,EUR,proshop.de,https://www.proshop.de/Gehaeuse/Antec-FLUX-M-Gehaeuse-Minitower-Schwarz/3421838,case,2026-06-13 14:35:19
APNX V1 Black/White/Wood - Gehäuse - Miditower - Weiß,83.68,EUR,proshop.de,https://www.proshop.de/Gehaeuse/APNX-V1-BlackWhiteWood-Gehaeuse-Miditower-Weiss/3360739,case,2026-06-13 14:35:19
APNX V1 White - Gehäuse - Miditower - Weiß,77.83,EUR,proshop.de,https://www.proshop.de/Gehaeuse/APNX-V1-White-Gehaeuse-Miditower-Weiss/3360744,case,2026-06-13 14:35:19
APNX V1 Wood Black - Gehäuse - Miditower - Schwarz,83.68,EUR,proshop.de,https://www.proshop.de/Gehaeuse/APNX-V1-Wood-Black-Gehaeuse-Miditower-Schwarz/3360752,case,2026-06-13 14:35:19
Asus A23 PLUS,2259.00,MDL,enter.online,https://enter.online/calculatoare/carcase/asus-a23-plus-mid-tower-black,case,2026-06-13 14:35:19
Asus A23 PLUS Black micro ATX,2259.00,MDL,darwin.md,https://darwin.md/carcasa-asus-a23-plus-mid-tower-black.html,case,2026-06-13 14:35:19
Asus AP201 Prime,2169.00,MDL,enter.online,https://enter.online/calculatoare/carcase/asus-ap201-prime-mid-tower-black,case,2026-06-13 14:35:19
ASUS Prime AP303 TG White - Gehäuse - Miditower - Weiß,77.00,EUR,proshop.de,https://www.proshop.de/Gehaeuse/ASUS-Prime-AP303-TG-White-Gehaeuse-Miditower-Weiss/3389004,case,2026-06-13 14:35:19
Asus ProArt PA401 Wood Edition,2799.00,MDL,enter.online,https://enter.online/calculatoare/carcase/asus-proart-pa401-wood-edition-mid-tower-black,case,2026-06-13 14:35:19
Asus ProArt PA401 Wood Edition Black ATX,2799.00,MDL,darwin.md,https://darwin.md/carcasa-asus-proart-pa401-wood-edition-mid-tower-black.html,case,2026-06-13 14:35:19
Asus ProArt PA602,5749.00,MDL,enter.online,https://enter.online/calculatoare/carcase/asus-proart-pa602-mid-tower-black,case,2026-06-13 14:35:19
Asus ProArt PA602 Black micro ATX,5749.00,MDL,darwin.md,https://darwin.md/carcasa-asus-proart-pa602-mid-tower-black.html,case,2026-06-13 14:35:19
ASUS ProArt PA602 Walnut Wood Metal - Gehäuse - Miditower - Braun,189.29,EUR,proshop.de,https://www.proshop.de/Gehaeuse/ASUS-ProArt-PA602-Walnut-Wood-Metal-Gehaeuse-Miditower-Braun/3388995,case,2026-06-13 14:35:19
ASUS ProArt PA602 Wood TG Panel - Gehäuse - Fulltower - Schwarz,180.58,EUR,proshop.de,https://www.proshop.de/Gehaeuse/ASUS-ProArt-PA602-Wood-TG-Panel-Gehaeuse-Fulltower-Schwarz/3304227,case,2026-06-13 14:35:19
"be quiet! Dark Base Pro 901, White",194990.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-dark-base-pro-901-white/,case,2026-06-13 14:35:19
Be quiet! Ligh Base 600 DX,3209.00,MDL,enter.online,https://enter.online/calculatoare/carcase/be-quiet-ligh-base-600-dx-mid-tower-white,case,2026-06-13 14:35:19
Be quiet! Ligh Base 600 DX White micro ATX,3209.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-600-dx-mid-tower-white.html,case,2026-06-13 14:35:19
Be quiet! Ligh Base 600 LX Black XL-ATX,3659.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-600-lx-mid-tower-black.html,case,2026-06-13 14:35:19
Be quiet! Ligh Base 900 DX,3559.00,MDL,enter.online,https://enter.online/calculatoare/carcase/be-quiet-ligh-base-900-dx-full-tower-black,case,2026-06-13 14:35:19
Be quiet! Ligh Base 900 DX Black XL-ATX,3559.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-900-dx-full-tower-black.html,case,2026-06-13 14:35:19
Be quiet! Ligh Base 900 DX White XL-ATX,3679.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-ligh-base-900-dx-full-tower-white.html,case,2026-06-13 14:35:19
"be quiet! Light Base 500 LX, Black",81400.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-500-lx-black/,case,2026-06-13 14:35:19
"be quiet! Light Base 500 LX, White",89890.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-500-lx-white/,case,2026-06-13 14:35:19
"be quiet! Light Base 500, Black",71900.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-500-black/,case,2026-06-13 14:35:19
"be quiet! Light Base 600 DX, Black",79400.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-600-dx-black/,case,2026-06-13 14:35:19
"be quiet! Light Base 600 DX, White",85990.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-600-dx-white/,case,2026-06-13 14:35:19
"be quiet! Light Base 900 DX, Black",93600.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-900-dx-black/,case,2026-06-13 14:35:19
"be quiet! Light Base 900 DX, White",99990.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-light-base-900-dx-white/,case,2026-06-13 14:35:19
be quiet! PURE BASE 500DX BGW37,629.99,BYN,onliner.by,https://catalog.onliner.by/chassis/bequiet/bgw37,case,2026-06-13 14:35:19
"be quiet! Pure Base 501 Airflow, White",51990.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-pure-base-501-airflow-white/,case,2026-06-13 14:35:19
"be quiet! Pure Base 501 DX, Black",67700.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-pure-base-501-dx-black/,case,2026-06-13 14:35:19
"be quiet! Pure Base 501 DX, White",69600.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-pure-base-501-dx-white/,case,2026-06-13 14:35:19
Be quiet! Pure Base 501 LX Black micro ATX,2849.00,MDL,darwin.md,https://darwin.md/carcasa-be-quiet-pure-base-501-lx-mid-tower-black.html,case,2026-06-13 14:35:19
"be quiet! Pure Base 501 LX, Black",73900.00,KZT,shop.kz,https://shop.kz/offer/korpus-be-quiet-pure-base-501-lx-black/,case,2026-06-13 14:35:19
