component_name,price,currency,store,url,scraped_at
Carcasă Deepcool CG530 4F White ITX,1499.00,MDL,darwin.md,https://darwin.md/carcasa-deepcool-cg530-4f-mid-tower-white.html,2026-06-12 22:02:15
Carcasă Deepcool MATREXX 30 Black micro ATX,549.00,MDL,darwin.md,https://darwin.md/deepcool-matrexx-30-black.html,2026-06-12 22:02:15
Carcasă Deepcool MATREXX 30 SI Black micro ATX,499.00,MDL,darwin.md,https://darwin.md/deepcool-matrexx-30-si-matx-black.html,2026-06-12 22:02:15
Carcasă GAMEMAX Edge,469.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/gamemax-edge-black,2026-06-12 22:02:15
Carcasă Gamemax Aero Black micro ATX,1099.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-aero-black.html,2026-06-12 22:02:15
Carcasă Gamemax Aero Mini Black micro ATX,1099.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-aero-mini-black.html,2026-06-12 22:02:15
Carcasă Gamemax Aero Mini ECO,669.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/gamemax-aero-mini-eco,2026-06-12 22:02:15
Carcasă Gamemax Aero Mini ECO Black micro ATX,699.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-aero-mini-eco-black.html,2026-06-12 22:02:15
Carcasă Gamemax Black Hole Black micro ATX,1099.00,MDL,darwin.md,https://darwin.md/atx-gamemax-black-hole-wo-psu-black.html,2026-06-12 22:02:15
Carcasă Gamemax Draco XD Black ITX,1099.00,MDL,darwin.md,https://darwin.md/case-atx-gamemax-draco-xd-black.html,2026-06-12 22:02:15
Carcasă Gamemax Edge Black ITX,499.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-edge-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax F36 Black ITX,1199.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-f36-mini-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax Forge AB Black micro ATX,799.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-forge-ab-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax Fortress TG Black micro ATX,699.00,MDL,darwin.md,https://darwin.md/atx-gamemax-fortress-tg-black.html,2026-06-12 22:02:15
Carcasă Gamemax G561E-BK,439.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/gamemax-g561e-bk,2026-06-12 22:02:15
Carcasă Gamemax G561E-BK Black ITX,499.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-g561e-bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax G563 Black micro ATX,599.00,MDL,darwin.md,https://darwin.md/case-atx-gamemax-g563-black.html,2026-06-12 22:02:15
Carcasă Gamemax HYPE-A Black ITX,1699.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-hype-a-mid-tower-white.html,2026-06-12 22:02:15
Carcasă Gamemax Infinity Black ITX,999.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-infinity-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax Nova N5 Black micro ATX,499.00,MDL,darwin.md,https://darwin.md/case-atx-gamemax-nova-n5-blackhtml-80878.html,2026-06-12 22:02:15
"Carcasă Gamemax Nova N5, Black",469.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/carcasa-gamemax-nova-n5-black,2026-06-12 22:02:15
Carcasă Gamemax Nova N6 Black ATX,599.00,MDL,darwin.md,https://darwin.md/case-atx-gamemax-nova-n6-black.html,2026-06-12 22:02:15
Carcasă Gamemax Revolt Black micro ATX,1099.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-revolt-black.html,2026-06-12 22:02:15
Carcasă Gamemax Siege Black micro ATX,1199.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-siege-mid-tower-black.html,2026-06-12 22:02:15
