component_name,price,currency,store,url,category,scraped_at
Accord Entry ACC-2053B,39.51,BYN,onliner.by,https://catalog.onliner.by/chassis/accord/acc2053b,case,2026-06-13 02:33:37
ADATA XPG Lander 500 (черный),155.65,BYN,onliner.by,https://catalog.onliner.by/chassis/adata/lander500mtabkcw,case,2026-06-13 02:33:37
"AeroCool APNX V1-W, Black",82990.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-apnx-v1-w-black/,case,2026-06-13 02:33:37
AeroCool CS-109-G-BK-v1,66.25,BYN,onliner.by,https://catalog.onliner.by/chassis/aerocool/cs109gbkv1,case,2026-06-13 02:33:37
AeroCool CS-111-G-BK-v1,69.62,BYN,onliner.by,https://catalog.onliner.by/chassis/aerocool/cs111gbkv1,case,2026-06-13 02:33:37
"AeroCool D520A, Black",42990.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-d520a-black/,case,2026-06-13 02:33:37
"AeroCool P500A, Black",45300.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-p500a-black/,case,2026-06-13 02:33:37
"AeroCool P500B Digi, Black",46400.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-p500b-digi-black/,case,2026-06-13 02:33:37
"AeroCool P500C Evo, White",47700.00,KZT,shop.kz,https://shop.kz/offer/korpus-aerocool-p500c-evo-white/,case,2026-06-13 02:33:37
Antec FLUX M - Gehäuse - Minitower - Schwarz,58.56,EUR,proshop.de,https://www.proshop.de/Gehaeuse/Antec-FLUX-M-Gehaeuse-Minitower-Schwarz/3421838,case,2026-06-13 02:33:37
APNX V1 Black/White/Wood - Gehäuse - Miditower - Weiß,83.68,EUR,proshop.de,https://www.proshop.de/Gehaeuse/APNX-V1-BlackWhiteWood-Gehaeuse-Miditower-Weiss/3360739,case,2026-06-13 02:33:37
APNX V1 White - Gehäuse - Miditower - Weiß,77.83,EUR,proshop.de,https://www.proshop.de/Gehaeuse/APNX-V1-White-Gehaeuse-Miditower-Weiss/3360744,case,2026-06-13 02:33:37
APNX V1 Wood Black - Gehäuse - Miditower - Schwarz,83.68,EUR,proshop.de,https://www.proshop.de/Gehaeuse/APNX-V1-Wood-Black-Gehaeuse-Miditower-Schwarz/3360752,case,2026-06-13 02:33:37
Asus A23 PLUS,2259.00,MDL,enter.online,https://enter.online/calculatoare/carcase/asus-a23-plus-mid-tower-black,case,2026-06-13 02:33:37
Asus A23 PLUS Black micro ATX,2259.00,MDL,darwin.md,https://darwin.md/carcasa-asus-a23-plus-mid-tower-black.html,case,2026-06-13 02:33:37
